ID,CD_GEOCODI,TIPO,CD_GEOCODB,NM_BAIRRO,CD_GEOCODS,NM_SUBDIST,CD_GEOCODD,NM_DISTRIT,CD_GEOCODM,NM_MUNICIP,NM_MICRO,NM_MESO,TIPO_NEW,CD_GEOCODB_NEW,NM_BAIRRO_NEW,CD_GEOCODS_NEW,NM_SUBDIST_NEW,CD_GEOCODD_NEW,NM_DISTRIT_NEW,CD_GEOCODM_NEW,NM_MUNICIP_NEW,NM_MICRO_NEW,NM_MESO_NEW
12868,230440005070949,URBAN,230440005038,Vila Ellery,23044000507,BARRA DO CEARA,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005003,Alvaro Weyne,23044000507,BARRA DO CEARA,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13531,230440005121095,URBAN,230440005036,Varjota,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005027,Papicu,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13359,230440005120414,URBAN,230440005115,De Lourdes,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005027,Papicu,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13349,230440005120404,URBAN,230440005115,De Lourdes,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005027,Papicu,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13348,230440005120403,URBAN,230440005115,De Lourdes,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005027,Papicu,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13530,230440005121094,URBAN,230440005036,Varjota,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005024,Meireles,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13255,230440005081034,URBAN,230440005030,Parreo,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005035,Sao Joao do Taupe,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13554,230440005121118,URBAN,230440005114,Praia do Futuro II,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005112,Manuel Dias Branco,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13595,230440005121159,URBAN,230440005114,Praia do Futuro II,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005112,Manuel Dias Branco,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13596,230440005121160,URBAN,230440005114,Praia do Futuro II,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005112,Manuel Dias Branco,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13589,230440005121153,URBAN,230440005113,Praia do Futuro I,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005114,Praia do Futuro II,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13591,230440005121155,URBAN,230440005113,Praia do Futuro I,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005114,Praia do Futuro II,23044000512,MUCURIPE,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
12935,230440005080020,URBAN,230440005117,Gentilandia,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005007,Benfica,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
12941,230440005080026,URBAN,230440005117,Gentilandia,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005007,Benfica,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
12942,230440005080027,URBAN,230440005117,Gentilandia,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005007,Benfica,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
12943,230440005080028,URBAN,230440005117,Gentilandia,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005007,Benfica,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13215,230440005080873,URBAN,230440005117,Gentilandia,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005007,Benfica,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13218,230440005080997,URBAN,230440005117,Gentilandia,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005007,Benfica,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13221,230440005081000,URBAN,230440005117,Gentilandia,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005007,Benfica,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
13259,230440005081162,URBAN,230440005003,Alvaro Weyne,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA,URBAN,230440005007,Benfica,23044000508,CENTRO,230440005,FORTALEZA,2304400,FORTALEZA,FORTALEZA,METROPOLITANA DE FORTALEZA
