"","Cod_setor","age_sex_group","population"
"1","230428505000053","M_14less",303
"2","230428505000053","M_15_24",210
"3","230428505000053","M_25_44",279
"4","230428505000053","M_45_64",99
"5","230428505000053","M_64more",29
"6","230428505000053","F_14less",270
"7","230428505000053","F_15_24",196
"8","230428505000053","F_25_44",274
"9","230428505000053","F_45_64",99
"10","230428505000053","F_64more",33
"11","230440005060753","M_14less",91
"12","230440005060753","M_15_24",46
"13","230440005060753","M_25_44",124
"14","230440005060753","M_45_64",55
"15","230440005060753","M_64more",28
"16","230440005060753","F_14less",71
"17","230440005060753","F_15_24",65
"18","230440005060753","F_25_44",135
"19","230440005060753","F_45_64",81
"20","230440005060753","F_64more",37
"21","230440005060754","M_14less",152
"22","230440005060754","M_15_24",127
"23","230440005060754","M_25_44",190
"24","230440005060754","M_45_64",82
"25","230440005060754","M_64more",41
"26","230440005060754","F_14less",143
"27","230440005060754","F_15_24",168
"28","230440005060754","F_25_44",253
"29","230440005060754","F_45_64",127
"30","230440005060754","F_64more",68
"31","230440005060755","M_14less",152
"32","230440005060755","M_15_24",129
"33","230440005060755","M_25_44",229
"34","230440005060755","M_45_64",122
"35","230440005060755","M_64more",41
"36","230440005060755","F_14less",187
"37","230440005060755","F_15_24",137
"38","230440005060755","F_25_44",251
"39","230440005060755","F_45_64",147
"40","230440005060755","F_64more",57
"41","230440005060756","M_14less",117
"42","230440005060756","M_15_24",96
"43","230440005060756","M_25_44",157
"44","230440005060756","M_45_64",53
"45","230440005060756","M_64more",32
"46","230440005060756","F_14less",98
"47","230440005060756","F_15_24",108
"48","230440005060756","F_25_44",171
"49","230440005060756","F_45_64",80
"50","230440005060756","F_64more",39
"51","230440005060757","M_14less",126
"52","230440005060757","M_15_24",93
"53","230440005060757","M_25_44",166
"54","230440005060757","M_45_64",74
"55","230440005060757","M_64more",25
"56","230440005060757","F_14less",128
"57","230440005060757","F_15_24",103
"58","230440005060757","F_25_44",178
"59","230440005060757","F_45_64",103
"60","230440005060757","F_64more",32
"61","230440005060758","M_14less",59
"62","230440005060758","M_15_24",45
"63","230440005060758","M_25_44",115
"64","230440005060758","M_45_64",62
"65","230440005060758","M_64more",21
"66","230440005060758","F_14less",62
"67","230440005060758","F_15_24",62
"68","230440005060758","F_25_44",124
"69","230440005060758","F_45_64",68
"70","230440005060758","F_64more",34
"71","230440005060759","M_14less",92
"72","230440005060759","M_15_24",74
"73","230440005060759","M_25_44",125
"74","230440005060759","M_45_64",75
"75","230440005060759","M_64more",22
"76","230440005060759","F_14less",80
"77","230440005060759","F_15_24",74
"78","230440005060759","F_25_44",148
"79","230440005060759","F_45_64",94
"80","230440005060759","F_64more",26
"81","230440005060760","M_14less",59
"82","230440005060760","M_15_24",60
"83","230440005060760","M_25_44",107
"84","230440005060760","M_45_64",75
"85","230440005060760","M_64more",27
"86","230440005060760","F_14less",65
"87","230440005060760","F_15_24",75
"88","230440005060760","F_25_44",148
"89","230440005060760","F_45_64",103
"90","230440005060760","F_64more",46
"91","230440005060761","M_14less",140
"92","230440005060761","M_15_24",101
