Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012
230010105000001,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101001,Centro,1,0,280,953,3.4,2.82,571.69,316755.91,597.29,315645.49,343.83,232736.68,536.1,259862.14
230010105000002,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101003,Populares,1,0,79,307,3.89,2.49,274.99,53733.83,339.44,44303.55,152.45,41137.62,290.49,38266.06
230010105000003,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101001,Centro,1,0,120,422,3.52,2.71,645.36,656299.39,673.42,666023.25,351.59,345354.88,540.32,429127.31
230010105000004,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101000,ABAIARA (demais setores),8,0,15,52,3.47,3.12,213.67,86880.24,356.11,94973.61,190.63,61879,301.83,64520.75
230010105000005,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101000,ABAIARA (demais setores),8,0,84,332,3.95,4.38,333.06,69879.6,417.57,52056.61,228.05,72817.5,369.64,65652.08
230010105000006,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101000,ABAIARA (demais setores),8,0,193,735,3.81,3.99,582.9,4163254.24,677.7,4779872.48,277.65,1364446.02,469.05,2217607.35
230010105000007,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101000,ABAIARA (demais setores),8,0,84,333,3.96,4.9,329.07,143429.9,418.82,144983.1,171.9,74396.88,298.4,91504
230010105000008,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101000,ABAIARA (demais setores),5,0,39,180,4.62,4.09,507.41,132527.04,565.4,114366.72,223.79,102802.66,426.69,109522.59
230010105000009,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101000,ABAIARA (demais setores),8,0,160,650,4.06,3.07,335.5,77614.7,367.67,73198.53,198.82,64585.7,317.88,65417.35
230010105000010,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101004,Capoeiras,1,0,7,30,4.29,1.9,391.43,22980.95,391.43,22980.95,191.3,47702.77,366.67,25260.61
230010105000011,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101004,Capoeiras,1,0,20,91,4.55,2.16,266.2,44434.06,354.93,26559.35,187.97,59357.4,319.55,58848.66
230010105000012,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101001,Centro,1,0,135,420,3.11,2.56,383.59,99907.39,417.62,94515.7,243.88,79163.49,367.89,73773.11
230010105000013,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101002,Alto da Alegria,1,0,53,242,4.57,4.63,354.47,66966.87,361.29,65768.84,167.04,47948.67,280.93,48652.69
230010105000014,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101002,Alto da Alegria,1,0,91,377,4.14,3.17,344.9,83683.78,392.33,76494.86,199.77,60990.35,337.71,56493.42
230010105000015,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101004,Capoeiras,1,0,34,157,4.62,3.52,367.12,136292.47,416.07,134023.1,207.66,103148.4,399.82,122050.91
230010105000017,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101002,Alto da Alegria,1,0,5,21,4.2,5.7,346,41480,346,41480,167.41,45606.38,316.22,38273.44
230010105000018,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101001,Centro,1,0,34,152,4.47,3.04,395,107462.36,463.1,93986.74,214.53,82598.43,385.48,82517.71
230010105000019,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101003,Populares,1,0,94,410,4.36,4.38,280.21,90616.28,309.88,91021.63,154.52,52177.77,265.02,60248.74
230010105000021,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101001,Centro,1,0,172,552,3.21,2.01,411.09,314424.63,474.55,332970.76,260.88,174478.58,411.12,213324.66
230010105000022,2,Região Nordeste,CE,Ceará,2307,Sul Cearense,23033,Brejo Santo,0,Municípios não pertencentes a estrutura de RM,2300101,ABAIARA,230010105,ABAIARA,23001010500,ABAIARA,2300101000,ABAIARA (demais setores),8,0,186,668,3.59,2.77,482.03,215077.55,524.31,211755.14,260.35,131990.44,426.85,145369.96
