Cod_setor,Situacao_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V014
230010105000001,1,0,276092,276092,0,16,42,89,89,34,4,1,0,1,4
230010105000002,1,0,36892,36892,0,22,20,24,9,0,0,0,0,0,4
230010105000003,1,1,124680,124280,400,10,19,37,32,17,2,1,3,0,0
230010105000004,8,X,X,X,X,X,X,X,X,X,X,X,X,X,X
230010105000005,8,0,67274,67274,0,8,15,26,21,7,0,0,0,0,7
230010105000006,8,0,172140,172140,0,36,49,42,50,7,0,2,3,0,4
230010105000007,8,0,47445,47445,0,22,16,22,15,2,0,1,0,0,6
230010105000008,5,0,32002,32002,0,5,8,15,5,4,0,0,0,0,2
230010105000009,8,0,106171,106171,0,30,33,52,36,3,0,0,0,0,6
230010105000010,1,0,4400,4400,0,0,4,2,1,0,0,0,0,0,0
230010105000011,1,0,12782,12782,0,7,5,5,3,0,0,0,0,0,0
230010105000012,1,0,86821,86821,0,15,30,32,47,5,1,0,0,0,5
230010105000013,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X
230010105000014,1,0,56735,56735,0,27,23,19,19,3,0,0,0,0,0
230010105000015,1,0,26788,26788,0,5,8,16,4,1,0,0,0,0,0
230010105000017,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X
230010105000018,1,0,24671,24671,0,5,8,15,3,2,0,0,0,0,1
230010105000019,1,0,49293,49293,0,23,33,23,11,2,0,0,0,0,2
230010105000021,1,1,119224,118636,588,24,39,47,53,3,0,2,1,0,4
230010105000022,8,0,146837,146837,0,30,40,46,54,14,1,0,0,0,1
230010105000023,8,0,84130,84130,0,31,29,41,14,6,0,0,0,1,3
230010105000024,8,0,12328,12328,0,4,2,6,3,2,0,0,0,0,3
230010105000025,8,0,78642,78642,0,16,29,19,25,4,0,2,0,0,2
230010105000026,8,X,X,X,X,X,X,X,X,X,X,X,X,X,X
230010120000001,1,3,131202,129048,2154,9,15,38,39,17,3,2,0,0,2
230010120000002,8,0,89765,89765,0,15,32,36,21,9,1,1,0,0,2
230010120000003,8,0,126099,126099,0,16,53,59,42,8,1,0,0,0,0
230010120000004,8,2,177541,175041,2500,22,59,73,67,11,3,0,0,0,2
230015005000001,1,0,180207,180207,0,2,15,40,60,14,6,1,1,0,1
230015005000002,1,0,109483,109483,0,25,25,67,34,5,0,0,0,0,9
230015005000003,1,0,110024,110024,0,22,31,51,41,5,0,1,0,0,5
230015005000004,1,0,177686,177686,0,11,30,68,70,12,1,2,0,0,15
230015005000005,1,0,225747,225747,0,44,56,113,87,9,0,1,0,0,7
230015005000006,1,0,50580,50580,0,26,27,37,17,0,0,0,0,0,7
230015005000007,1,0,130411,130411,0,13,33,38,54,7,2,0,0,0,9
230015005000008,1,0,167364,167364,0,5,16,50,49,17,2,2,0,0,2
230015005000009,8,0,106072,106072,0,37,44,49,36,2,1,0,1,0,15
230015005000010,5,0,102120,102120,0,12,27,37,39,4,2,0,0,0,3
230015005000011,5,0,29516,29516,0,11,11,14,13,1,0,0,0,0,0
230015005000012,8,1,86616,86434,182,28,27,48,30,6,0,0,0,0,8
230015005000013,8,0,161671,161671,0,35,44,61,45,9,1,2,1,0,4
230015005000014,8,0,96813,96813,0,12,38,54,34,1,0,0,0,0,13
230015005000015,5,0,163218,163218,0,8,26,67,60,16,2,1,0,0,3
230015005000016,5,0,244564,244564,0,12,48,103,63,22,3,1,0,0,3
