Cod_setor,Situacao_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V014,V015,V016,V017,V018,V019,V020,V021,V022,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V035,V036,V037,V038,V039,V040,V041,V042,V043,V044,V045,V046,V047,V048,V049,V050,V051,V052,V053,V054,V055,V056,V057,V058,V059,V060,V061,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085
230010105000001,1,742,9,11,6,19,22,19,17,14,14,19,27,23,17,17,12,10,18,14,17,18,17,16,8,14,19,15,19,13,10,11,8,11,15,8,13,9,9,7,11,12,9,11,6,7,6,6,12,8,4,3,4,5,7,4,4,4,4,5,6,4,7,4,2,3,6,2,4,2,0,2,3,2,3,3,0,12,207,165,247,6,25,12,10,3
230010105000002,1,186,1,5,7,12,2,8,10,9,10,5,6,4,5,2,6,4,5,5,4,5,8,7,2,4,5,4,5,4,4,4,1,1,2,1,0,1,0,1,0,2,1,1,1,0,1,1,2,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,38,32,71,0,12,2,4,0
230010105000003,1,328,2,7,5,6,6,7,13,6,6,7,9,9,8,4,7,7,12,15,7,4,4,5,9,7,8,10,6,8,4,9,6,7,7,5,3,4,1,4,3,5,4,3,3,3,3,2,3,4,4,2,4,3,2,0,3,0,1,0,4,4,2,0,3,3,0,0,2,1,1,0,0,0,1,0,0,1,98,73,104,1,12,0,12,1
230010105000004,8,29,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
230010105000005,8,221,1,1,4,0,3,4,4,2,7,4,6,14,8,9,9,8,8,7,5,7,4,6,5,8,4,3,4,2,4,1,5,2,4,3,0,3,7,1,1,3,4,3,0,1,1,5,0,1,4,1,1,2,2,0,1,1,0,0,0,0,2,0,1,0,1,0,1,0,1,0,1,0,0,3,0,3,51,35,115,0,6,1,2,2
230010105000006,8,406,4,3,7,12,5,14,10,19,12,17,23,12,18,20,16,12,8,13,10,10,10,6,6,6,6,8,3,7,4,6,5,11,3,6,3,8,2,2,4,6,5,2,3,3,1,3,3,1,1,2,1,1,1,0,0,2,2,1,1,1,0,1,1,1,0,0,1,2,1,1,0,0,0,2,0,5,63,82,211,0,11,0,8,0
230010105000007,8,242,4,2,2,12,5,5,6,9,9,12,10,8,10,7,6,8,4,4,4,6,2,2,5,7,3,6,5,2,4,3,4,3,2,5,3,2,2,3,3,5,4,3,2,1,2,3,2,0,0,3,0,1,2,1,4,0,2,0,0,2,0,1,1,0,0,1,0,1,0,0,0,0,2,0,0,0,49,45,114,1,3,2,3,0
230010105000008,5,126,0,3,1,4,4,6,2,7,3,3,9,4,2,1,4,4,2,6,7,3,5,2,2,1,2,1,1,3,3,1,0,1,0,5,1,4,0,0,0,1,0,0,1,0,1,0,0,1,0,2,1,0,0,0,1,1,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,29,19,53,0,9,2,2,0
230010105000009,8,452,6,10,12,14,12,11,14,18,15,18,16,11,12,18,17,12,13,13,19,9,9,9,9,13,7,7,8,6,5,5,5,6,5,4,5,3,2,5,6,1,6,4,5,2,3,5,4,3,3,1,2,3,2,1,0,2,1,0,0,1,2,1,2,1,0,0,1,0,1,1,1,0,0,0,0,4,88,94,190,4,12,1,9,0
230010105000010,1,18,1,0,1,0,4,0,1,1,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,2,0,0,0
