Cod_setor,Situacao_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V014,V015,V016,V017,V018,V019,V020,V021,V022,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V035,V036,V037,V038,V039,V040,V041,V042,V043,V044,V045,V046,V047,V048,V049,V050,V051,V052,V053,V054,V055,V056,V057,V058,V059,V060,V061,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134
230010105000001,1,470,470,202,16,145,55,1,3,5,1,35,0,5,0,1,0,1,0,0,0,0,15,0,2,0,0,0,1,1,1,2,2,1,5,13,7,7,7,7,8,3,12,12,11,8,7,4,7,14,13,9,5,8,6,14,7,7,8,9,6,7,7,8,7,9,8,6,5,4,6,5,5,7,8,4,3,4,7,8,9,7,0,2,4,10,3,0,2,4,2,2,3,4,3,1,3,5,2,4,4,3,2,5,4,1,2,2,2,2,0,3,4,0,3,1,0,0,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0
230010105000002,1,150,150,51,5,49,20,2,0,0,0,16,0,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,4,4,5,2,1,6,1,5,1,7,8,4,4,4,4,2,4,1,2,3,2,0,2,3,7,4,1,3,4,1,4,2,6,2,2,2,2,1,1,3,1,0,1,3,2,1,1,0,0,2,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
230010105000003,1,211,210,86,16,70,16,2,2,1,0,15,0,1,0,2,0,0,0,0,0,0,6,1,1,1,2,0,0,0,0,1,0,0,0,4,4,4,3,2,2,3,3,5,5,5,3,2,3,2,2,5,3,4,3,6,9,3,2,3,4,3,3,5,7,2,4,3,5,4,3,4,2,2,3,0,2,2,3,4,3,2,3,3,0,1,2,2,1,1,1,2,2,1,1,4,0,4,2,2,1,3,2,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
230010105000004,8,25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
230010105000005,8,193,193,69,3,88,13,0,0,2,0,12,0,2,0,2,0,2,0,0,0,0,3,0,1,0,0,0,0,1,0,1,0,0,0,3,1,2,4,1,1,4,0,1,4,2,2,6,3,5,9,4,7,6,6,7,5,5,7,1,6,2,4,6,2,2,1,2,0,6,1,5,3,0,0,4,0,1,3,3,3,2,1,1,2,0,2,4,2,3,3,2,1,2,1,0,1,0,0,2,0,1,0,3,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105000006,8,383,383,151,14,147,37,5,2,2,0,17,0,2,0,6,0,0,0,0,0,0,5,1,1,0,2,0,0,0,0,0,0,0,1,5,5,8,8,10,5,3,7,6,9,6,10,4,10,15,8,12,10,12,8,0,8,6,9,5,4,3,4,6,5,3,11,7,6,6,7,5,5,5,7,4,2,5,4,2,4,4,1,3,3,1,0,3,1,2,4,1,4,1,4,7,5,2,4,2,1,2,6,0,1,4,2,3,2,0,1,0,2,0,1,0,1,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
230010105000007,8,163,163,61,6,71,12,1,2,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,6,4,1,9,3,2,3,2,3,5,5,3,7,5,1,7,2,5,3,4,1,0,2,5,1,2,2,6,2,1,1,2,2,2,2,0,2,2,0,2,4,3,1,0,3,2,1,0,0,0,1,0,1,2,1,0,2,0,0,1,2,2,0,1,1,2,0,1,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105000008,5,88,88,28,0,33,9,1,2,3,1,8,0,2,0,1,0,0,0,0,0,0,5,1,1,1,1,0,0,1,0,0,0,0,0,1,5,2,0,0,2,1,1,3,3,1,6,1,1,6,2,1,1,0,3,1,3,3,1,1,1,2,1,0,1,0,0,1,1,0,1,0,0,1,3,0,0,0,1,0,0,1,0,0,0,1,3,0,1,0,0,2,0,1,0,1,1,0,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105000009,8,331,331,141,3,141,25,0,2,1,0,13,0,0,0,4,0,1,0,0,0,0,8,1,0,0,2,2,0,1,1,0,0,1,0,8,5,5,6,5,4,5,6,6,10,8,9,7,5,6,7,5,15,10,7,3,6,10,6,7,6,6,7,5,1,5,6,2,3,3,7,4,6,2,6,2,2,2,2,6,1,3,1,3,4,5,2,5,3,3,2,2,1,1,5,2,1,1,2,1,1,3,0,1,1,3,0,1,1,0,1,0,1,0,1,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230010105000010,1,13,13,5,0,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
