Cod_setor,Situacao_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,V013,V014,V015,V016,V017,V018,V019,V020,V021,V022,V023,V024,V025,V026,V027,V028,V029,V030,V031,V032,V033,V034,V035,V036,V037,V038,V039,V040,V041,V042,V043,V044,V045,V046,V047,V048,V049,V050,V051,V052,V053,V054,V055,V056,V057,V058,V059,V060,V061,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,
230010105000001,1,483,483,78,184,122,51,1,4,3,2,20,0,9,1,5,0,3,0,0,0,0,7,1,1,0,0,1,0,1,1,1,0,0,1,3,5,7,4,4,5,5,9,10,8,9,7,10,12,13,10,9,12,4,4,4,7,10,10,8,13,2,7,14,10,12,7,7,6,5,6,13,4,10,4,5,5,11,6,4,4,2,7,4,4,4,6,5,2,2,4,6,3,1,4,10,6,3,3,7,7,4,4,4,1,4,1,0,2,3,2,1,2,0,1,0,2,2,2,1,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,483
230010105000002,1,157,157,28,47,44,15,6,2,2,1,8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2,3,2,7,10,2,2,3,5,6,3,3,2,2,1,4,1,3,6,3,2,3,4,1,2,4,3,3,2,3,6,1,2,1,0,2,2,0,2,0,3,1,0,1,0,3,0,2,2,1,0,1,1,0,2,1,1,1,0,1,2,1,0,1,3,1,2,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230010105000003,1,215,212,35,76,60,14,2,7,1,1,13,0,0,0,4,0,1,0,1,0,0,6,0,1,0,1,0,0,0,0,4,0,0,0,2,5,6,2,2,6,2,3,1,3,8,3,4,4,7,7,3,1,3,4,6,6,4,3,2,1,6,5,3,3,4,6,1,5,2,5,4,4,2,1,2,3,2,2,3,2,2,1,1,2,3,2,2,1,4,3,1,1,3,0,0,1,1,3,1,0,1,3,0,0,3,3,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230010105000004,8,27,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
230010105000005,8,139,139,15,59,51,2,2,2,2,0,2,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,4,1,1,4,2,0,1,0,2,2,2,0,3,2,2,6,4,3,3,3,1,2,1,0,3,1,3,5,0,2,3,2,2,1,2,1,3,2,0,4,3,1,2,4,2,1,1,0,2,4,2,0,4,0,1,1,1,0,2,1,0,2,2,2,0,1,0,0,3,0,1,1,1,1,1,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,
230010105000006,8,352,352,42,129,122,25,6,3,3,1,14,0,3,0,4,0,0,0,0,0,0,8,0,1,1,0,1,0,0,2,1,1,1,0,6,4,3,2,5,7,8,7,3,6,4,10,8,9,9,5,6,11,5,6,8,9,7,7,8,5,6,5,4,7,4,5,1,4,3,7,3,7,4,4,3,3,2,5,6,1,4,5,0,5,4,3,1,2,6,1,2,2,3,2,3,5,1,1,3,2,2,3,1,2,2,3,3,3,1,2,1,2,1,1,0,4,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,
230010105000007,8,170,170,23,57,69,14,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,3,1,7,2,1,2,4,2,3,3,7,6,7,5,5,3,2,5,1,2,0,1,2,1,2,3,3,2,6,4,1,3,3,3,3,1,4,1,3,2,1,3,5,1,0,1,3,0,3,2,0,1,4,1,1,2,0,3,0,1,0,1,1,0,1,1,0,1,3,0,2,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
230010105000008,5,92,92,11,25,27,12,0,0,2,0,12,0,2,0,1,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,0,1,0,2,4,2,0,1,0,3,1,3,1,2,2,2,3,2,1,0,4,1,1,3,4,2,4,1,0,0,3,0,1,3,2,0,0,1,1,6,0,2,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,2,1,0,0,0,1,0,1,1,0,0,0,0,1,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230010105000009,8,319,319,19,129,128,13,1,5,7,4,11,0,1,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,1,2,0,1,1,0,3,5,6,6,4,7,7,8,6,1,6,9,9,13,12,6,7,3,7,5,10,8,10,3,3,4,4,8,4,6,4,4,3,6,2,3,3,2,4,3,2,3,5,2,5,4,6,3,4,4,1,3,2,0,2,3,2,1,0,3,1,4,3,2,1,1,2,3,1,1,1,2,1,2,2,0,0,0,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
230010105000010,1,17,17,2,5,5,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
